topic,timestep,state,proportion,count,n_nodes
Flat Earth,0,-2,0.16,16,100
Flat Earth,0,-1,0.19,19,100
Flat Earth,0,0,0.37,37,100
Flat Earth,0,1,0.19,19,100
Flat Earth,0,2,0.09,9,100
Flat Earth,1,-2,0.44,44,100
Flat Earth,1,-1,0.12,12,100
Flat Earth,1,0,0.22,22,100
Flat Earth,1,1,0.14,14,100
Flat Earth,1,2,0.08,8,100
Flat Earth,2,-2,0.67,67,100
Flat Earth,2,-1,0.06,6,100
Flat Earth,2,0,0.16,16,100
Flat Earth,2,1,0.09,9,100
Flat Earth,2,2,0.02,2,100
Flat Earth,3,-2,0.76,76,100
Flat Earth,3,-1,0.04,4,100
Flat Earth,3,0,0.1,10,100
Flat Earth,3,1,0.08,8,100
Flat Earth,3,2,0.02,2,100
Flat Earth,4,-2,0.84,84,100
Flat Earth,4,-1,0.03,3,100
Flat Earth,4,0,0.07,7,100
Flat Earth,4,1,0.04,4,100
Flat Earth,4,2,0.02,2,100
Flat Earth,5,-2,0.92,92,100
Flat Earth,5,-1,0.01,1,100
Flat Earth,5,0,0.03,3,100
Flat Earth,5,1,0.02,2,100
Flat Earth,5,2,0.02,2,100
Flat Earth,6,-2,0.97,97,100
Flat Earth,6,-1,0.0,0,100
Flat Earth,6,0,0.01,1,100
Flat Earth,6,1,0.01,1,100
Flat Earth,6,2,0.01,1,100
Flat Earth,7,-2,1.0,100,100
Flat Earth,7,-1,0.0,0,100
Flat Earth,7,0,0.0,0,100
Flat Earth,7,1,0.0,0,100
Flat Earth,7,2,0.0,0,100
Flat Earth,8,-2,1.0,100,100
Flat Earth,8,-1,0.0,0,100
Flat Earth,8,0,0.0,0,100
Flat Earth,8,1,0.0,0,100
Flat Earth,8,2,0.0,0,100
Flat Earth,9,-2,1.0,100,100
Flat Earth,9,-1,0.0,0,100
Flat Earth,9,0,0.0,0,100
Flat Earth,9,1,0.0,0,100
Flat Earth,9,2,0.0,0,100
Flat Earth,10,-2,1.0,100,100
Flat Earth,10,-1,0.0,0,100
Flat Earth,10,0,0.0,0,100
Flat Earth,10,1,0.0,0,100
Flat Earth,10,2,0.0,0,100
