topic,topic_title,epoch,state_order,state,state_label,count,total_nodes,proportion
Politics,Partisan Alignment,0,0,2,strong_positive,126,1000,0.126
Politics,Partisan Alignment,0,1,1,weak_positive,195,1000,0.195
Politics,Partisan Alignment,0,2,0,neutral,379,1000,0.379
Politics,Partisan Alignment,0,3,-1,weak_negative,190,1000,0.19
Politics,Partisan Alignment,0,4,-2,strong_negative,110,1000,0.11
Politics,Partisan Alignment,1,0,2,strong_positive,157,1000,0.157
Politics,Partisan Alignment,1,1,1,weak_positive,213,1000,0.213
Politics,Partisan Alignment,1,2,0,neutral,335,1000,0.335
Politics,Partisan Alignment,1,3,-1,weak_negative,183,1000,0.183
Politics,Partisan Alignment,1,4,-2,strong_negative,112,1000,0.112
Politics,Partisan Alignment,2,0,2,strong_positive,232,1000,0.232
Politics,Partisan Alignment,2,1,1,weak_positive,184,1000,0.184
Politics,Partisan Alignment,2,2,0,neutral,293,1000,0.293
Politics,Partisan Alignment,2,3,-1,weak_negative,185,1000,0.185
Politics,Partisan Alignment,2,4,-2,strong_negative,106,1000,0.106
Politics,Partisan Alignment,3,0,2,strong_positive,320,1000,0.32
Politics,Partisan Alignment,3,1,1,weak_positive,118,1000,0.118
Politics,Partisan Alignment,3,2,0,neutral,283,1000,0.283
Politics,Partisan Alignment,3,3,-1,weak_negative,187,1000,0.187
Politics,Partisan Alignment,3,4,-2,strong_negative,92,1000,0.092
Politics,Partisan Alignment,4,0,2,strong_positive,375,1000,0.375
Politics,Partisan Alignment,4,1,1,weak_positive,88,1000,0.088
Politics,Partisan Alignment,4,2,0,neutral,259,1000,0.259
Politics,Partisan Alignment,4,3,-1,weak_negative,193,1000,0.193
Politics,Partisan Alignment,4,4,-2,strong_negative,85,1000,0.085
Politics,Partisan Alignment,5,0,2,strong_positive,417,1000,0.417
Politics,Partisan Alignment,5,1,1,weak_positive,61,1000,0.061
Politics,Partisan Alignment,5,2,0,neutral,251,1000,0.251
Politics,Partisan Alignment,5,3,-1,weak_negative,169,1000,0.169
Politics,Partisan Alignment,5,4,-2,strong_negative,102,1000,0.102
Politics,Partisan Alignment,6,0,2,strong_positive,457,1000,0.457
