folder,topic_title,epoch,rows,unique_source_nodes,unique_target_nodes,unique_edges,source_state_values,target_state_values
Abortion Ban,Abortion Ban,0,4000,1000,1000,4000,-2 -1 0 1 2,-2 -1 0 1 2
Abortion Ban,Abortion Ban,1,4000,1000,1000,4000,-2 -1 0 1 2,-2 -1 0 1 2
Abortion Ban,Abortion Ban,2,4000,1000,999,4000,-2 -1 0 1 2,-2 -1 0 1 2
Abortion Ban,Abortion Ban,3,3999,1000,999,3999,-2 -1 0 1 2,-2 -1 0 1 2
Abortion Ban,Abortion Ban,4,3999,1000,996,3999,-2 -1 0 1 2,-2 -1 0 1 2
Abortion Ban,Abortion Ban,5,3997,1000,984,3997,-2 -1 0 1 2,-2 -1 0 1 2
Abortion Ban,Abortion Ban,6,3995,1000,978,3995,-2 -1 0 1 2,-2 -1 0 1 2
Abortion Ban,Abortion Ban,7,3993,1000,982,3993,-2 -1 0 1 2,-2 -1 0 1 2
Abortion Ban,Abortion Ban,8,3994,1000,981,3994,-2 -1 0 1 2,-2 -1 0 1 2
Abortion Ban,Abortion Ban,9,3993,1000,979,3993,-2 -1 0 1 2,-2 -1 0 1 2
Abortion Ban,Abortion Ban,10,3996,1000,975,3996,-2 -1 0 1 2,-2 -1 0 1 2
Abortion Ban,Abortion Ban,11,3996,1000,978,3996,-2 -1 0 1 2,-2 -1 0 1 2
Abortion Ban,Abortion Ban,12,3996,1000,977,3996,-2 -1 0 1 2,-2 -1 0 1 2
Abortion Ban,Abortion Ban,13,3995,1000,982,3995,-2 -1 0 1 2,-2 -1 0 1 2
Abortion Ban,Abortion Ban,14,3995,1000,976,3995,-2 -1 0 1 2,-2 -1 0 1 2
Abortion Ban,Abortion Ban,15,3993,1000,975,3993,-2 -1 0 1 2,-2 -1 0 1 2
Abortion Ban,Abortion Ban,16,3993,1000,976,3993,-2 -1 0 1 2,-2 -1 0 1 2
Abortion Ban,Abortion Ban,17,3993,1000,976,3993,-2 -1 0 1 2,-2 -1 0 1 2
Abortion Ban,Abortion Ban,18,3993,1000,979,3993,-2 -1 0 1 2,-2 -1 0 1 2
Abortion Ban,Abortion Ban,19,3993,1000,975,3993,-2 -1 0 1 2,-2 -1 0 1 2
Abortion Ban,Abortion Ban,20,3992,1000,972,3992,-2 -1 0 1 2,-2 -1 0 1 2
Abortion Ban,Abortion Ban,21,3993,1000,973,3993,-2 -1 0 1 2,-2 -1 0 1 2
Abortion Ban,Abortion Ban,22,3993,1000,975,3993,-2 -1 0 1 2,-2 -1 0 1 2
Abortion Ban,Abortion Ban,23,3992,1000,974,3992,-2 -1 0 1 2,-2 -1 0 1 2
Abortion Ban,Abortion Ban,24,3992,1000,976,3992,-2 -1 0 1 2,-2 -1 0 1 2
Abortion Ban,Abortion Ban,25,3993,1000,972,3993,-2 -1 0 1 2,-2 -1 0 1 2
Abortion Ban,Abortion Ban,26,3993,1000,974,3993,-2 -1 0 1 2,-2 -1 0 1 2
Abortion Ban,Abortion Ban,27,3994,1000,971,3994,-2 -1 0 1 2,-2 -1 0 1 2
Abortion Ban,Abortion Ban,28,3994,1000,976,3994,-2 -1 0 1 2,-2 -1 0 1 2
